Doublet Creation,Neighbour search,CA,Extract Possible Tracks,Remove Short,Remove Ghost and Clones,Full Time,Total Hits in Event,Maximum number of Hits in a Sensor
0.138166,2.496532,0.20084500000000016,26.869127000000002,0.0003830000000029088,0.029084999999998473,29.734146,1003,29
0.1331479999999985,2.5086220000000026,0.21917699999999485,27.094721,0.0003799999999998249,0.028974000000005162,29.985193,1003,29
0.13374999999999915,2.513206999999994,0.22424799999999578,27.211981,0.0003810000000044056,0.03023600000000215,30.113976,1003,29
0.13764799999999866,2.5777140000000003,0.22314200000000994,27.344994,0.00041800000001046556,0.028966999999994414,30.313057999999998,1003,29
0.13824400000000026,2.528824,0.2252589999999941,27.046085000000005,0.0003969999999924312,0.02946500000001606,29.96846699999999,1003,29
1.9819699999999898,132.258117,2.570115000000044,20.70290399999999,0.0034880000000043765,0.7216249999999604,158.23842599999998,3777,97
1.8852590000000191,133.87039299999998,2.618372000000022,20.93210099999999,0.003478000000029624,0.7146329999999921,160.025015,3777,97
1.9541570000000092,133.135377,2.6535880000000134,20.92302499999994,0.0034180000000105792,0.7167279999999892,159.38709799999998,3777,97
1.8923029999999699,133.558675,2.686994000000027,21.20440899999994,0.0034440000000586224,0.7212789999999814,160.067906,3777,97
1.946087000000034,134.74561500000004,2.7158580000000256,21.268043999999918,0.0034060000000408763,0.7340930000000299,161.4140500000001,3777,97
1.3913049999999885,72.65008999999998,1.9485399999998663,44.39132600000016,0.0024660000001404114,0.41511000000014064,120.79972299999997,3075,83
1.3299950000000536,72.66558499999996,1.9326049999999668,44.744106999999985,0.0024789999999939027,0.4168680000000222,121.0923029999999,3075,83
1.3144620000000486,72.55531900000005,1.9172840000001088,44.30760299999997,0.002444999999852371,0.4071550000001025,120.50493900000015,3075,83
1.3023399999999583,72.44922400000019,1.9111899999998059,44.66822100000013,0.002444000000195956,0.4075920000000224,120.74167800000009,3075,83
1.2958360000000084,71.9696449999999,1.923996999999872,44.586561000000074,0.002404999999953361,0.40907400000014604,120.18819800000006,3075,83
