Doublet Creation,Neighbour search,CA,Extract Possible Tracks,Remove Short,Remove Ghost and Clones,Full Time,Total Hits in Event,Maximum number of Hits in a Sensor
0.13861299999999988,2.5871980000000003,0.19868600000000036,0.846298,0.00033100000000008123,0.02895200000000031,3.80009,1003,29
0.13731899999999975,2.5788459999999995,0.2030309999999993,0.8822229999999998,0.0004049999999988785,0.02955000000000041,3.8315219999999997,1003,29
0.13824999999999932,2.5705660000000012,0.20028600000000019,0.8423470000000002,0.000354999999998995,0.029113999999999862,3.7810609999999993,1003,29
0.13580599999999876,2.565619999999999,0.2007399999999997,0.8485599999999991,0.0003229999999980748,0.028846999999998957,3.780028999999999,1003,29
0.13344400000000078,2.5912380000000006,0.2028660000000002,0.8413760000000003,0.0003069999999993911,0.0290859999999995,3.798476000000001,1003,29
1.9275790000000015,149.180245,3.473602999999997,3.2550520000000063,0.0033970000000067557,0.7738080000000025,158.613867,3777,97
1.850857000000019,136.437856,2.590330999999992,2.698957000000007,0.003229999999973643,0.7088270000000421,144.290775,3777,97
1.8487590000000296,134.48752199999996,2.5664370000000076,2.6841120000000274,0.0032009999999900174,0.7045370000000162,142.29527000000002,3777,97
1.829605000000015,134.49786399999994,2.6088809999999967,2.705522999999971,0.0032350000000178625,0.7075729999999112,142.35339299999998,3777,97
1.8278460000000223,136.77077799999995,2.6985480000000734,2.619919999999979,0.0031840000000329383,0.7073429999999234,144.628332,3777,97
1.2202920000000859,73.81537500000002,1.8722980000000007,2.5900739999999587,0.0021530000000211658,0.406900999999948,79.90788900000007,3075,83
1.2593060000000378,73.52326300000004,1.8620479999999588,2.589958000000024,0.002223999999955595,0.4077980000000707,79.645173,3075,83
1.2137969999999996,73.79260899999997,1.9023049999999557,2.5778000000000247,0.0022149999999783176,0.40682300000003124,79.8961240000001,3075,83
1.2657600000000002,73.37537099999997,1.8768830000001344,2.512256999999863,0.0022349999999278225,0.40808900000001813,79.44117899999992,3075,83
1.332977000000028,73.56102499999997,1.8628229999999348,2.514300999999932,0.002244999999902575,0.40826399999991736,79.68220999999994,3075,83
0.936862999999903,42.78259800000001,1.2156689999999344,1.3502220000000307,0.001426000000037675,0.22749599999997372,46.51491899999996,2634,73
0.9069190000000162,42.73001799999997,1.211936999999807,1.3503559999999197,0.0014489999998659187,0.2269730000000436,46.428145000000086,2634,73
0.9075139999999919,42.762017000000014,1.21928099999991,1.3473989999999958,0.00140600000008817,0.2267989999998008,46.464909000000034,2634,73
0.907216999999946,42.700386999999864,1.2117860000000746,1.2927649999999176,0.0014540000001943554,0.22641199999998207,46.34051700000009,2634,73
0.9675529999999526,43.49213600000007,1.2135690000000068,1.2864009999998416,0.0014149999999517604,0.22800999999981286,47.18957599999999,2634,73
0.7973190000000159,32.64083000000005,1.1618489999998474,1.5034200000000055,0.0012240000000929285,0.1870730000000549,36.29226500000004,2368,58
0.7917909999998756,32.56465299999991,1.1633899999999358,1.4907639999998992,0.0012229999999817665,0.1920639999998457,36.20433099999991,2368,58
0.7910030000000461,32.617648000000145,1.1884090000000924,1.5135649999999714,0.0012460000000373839,0.1872240000000147,36.29953300000011,2368,58
0.7899850000001152,32.6373950000002,1.1677079999999478,1.5512160000000677,0.0012339999998403073,0.1874359999999342,36.33541100000002,2368,58
0.7791620000000421,32.5534819999998,1.166294999999991,1.504073999999946,0.001199999999926149,0.1870449999998982,36.19169699999998,2368,58
2.6407210000002124,232.416242,3.423825000000079,4.4332070000000385,0.004889999999932115,1.261015000000043,244.18040200000019,4352,119
2.5911859999998796,231.98953200000005,3.470969999999852,4.346218000000135,0.005361999999877298,1.2619199999999182,243.66604600000028,4352,119
2.667881999999736,237.54470900000024,3.568091000000095,4.80297900000005,0.005019000000174856,1.449015000000145,250.03874600000017,4352,119
2.7592209999997976,235.69736000000012,3.429957000000286,4.31600299999991,0.0049619999999777065,1.2642789999999877,247.4726370000003,4352,119
2.679630999999972,234.19771300000002,3.4193850000001476,4.326988000000256,0.004985999999917112,1.2584070000002612,245.8879710000001,4352,119
1.5343309999998382,88.94619599999987,1.8938550000002579,2.967413999999735,0.0027059999997618434,0.5441859999996268,95.88967899999989,3366,84
1.4968960000001061,88.94606500000009,1.8782390000001215,2.969531000000188,0.002666999999746622,0.5451630000002297,95.83922499999971,3366,84
1.5574500000002445,88.37571500000013,1.8490679999999884,2.9210649999999987,0.0025349999996251427,0.5380780000000414,95.2445560000001,3366,84
1.4626699999998891,89.05012699999997,1.8574350000003506,2.950362000000041,0.0025800000003073364,0.6233029999998507,95.94713000000002,3366,84
1.4873349999998027,89.1039179999998,1.850746000000072,2.877658999999767,0.0025439999999434804,0.5380909999998948,95.86095000000023,3366,84
0.07652099999995698,1.7233040000000983,0.09293200000001889,0.2839520000002267,0.00020200000017212005,0.012824999999793363,2.1909489999998186,775,32
0.07657199999994191,1.7316350000000966,0.0897530000002007,0.251962000000276,0.00016300000015689875,0.012611999999990076,2.162796999999955,775,32
0.10018700000000536,1.7135279999997692,0.08958999999958905,0.2524669999997968,0.0002009999998335843,0.012806000000182394,2.1688930000000255,775,32
0.1011569999996027,1.752570999999989,0.08927499999981592,0.2526259999999638,0.00016499999992447556,0.01259699999991426,2.208480000000236,775,32
0.10192600000027596,1.7134380000002238,0.08917399999972986,0.2521979999996802,0.00021099999958096305,0.012692999999671883,2.169763999999759,775,32
0.23490599999968254,5.800734999999804,0.2566710000000967,0.5688890000001265,0.0003880000003846362,0.036450999999942724,6.898306000000048,1264,35
